"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"127",162687,2014-07-23,"Pennsylvania","Braddock","700 block of Hickory St",0,4,"700 block of Hickory St, Braddock, Pennsylvania",-79.8613215,40.4057437
"128",161302,2014-07-21,"New Jersey","Irvington","36 Welland Avenue",0,6,"36 Welland Avenue, Irvington, New Jersey",-74.2288187,40.7171709
"129",162008,2014-07-21,"Tennessee","Memphis","300 block of Foote Park Lane",0,4,"300 block of Foote Park Lane, Memphis, Tennessee",-90.049463,35.134391
"130",160998,2014-07-20,"Illinois","East Saint Louis","5103 block of Bunkum Rd",1,3,"5103 block of Bunkum Rd, East Saint Louis, Illinois",-90.0961257,38.6234256
"131",161063,2014-07-20,"Nevada","Las Vegas","Rancho Drive 3400 block",1,3,"Rancho Drive 3400 block, Las Vegas, Nevada",-115.2146439,36.2207356
"132",160488,2014-07-19,"Illinois","Chicago","1300 North Mason Avenue",0,4,"1300 North Mason Avenue, Chicago, Illinois",-87.7745115,41.9039614
"133",158387,2014-07-14,"California","Sacramento","Fulton Avenue",1,4,"Fulton Avenue, Sacramento, California",-121.401552,38.6042426
"134",159291,2014-07-13,"District of Columbia","Washington","1700 block of Lincoln Rd NE",0,4,"1700 block of Lincoln Rd NE, Washington, District of Columbia",-77.0086916,38.9126904
"135",158306,2014-07-13,"Washington","Skyway","12600 Renton Avenue South",0,5,"12600 Renton Avenue South, Skyway, Washington",-122.2393177,47.4917411
"136",158589,2014-07-13,"Connecticut","Stamford","84 West Park Place",0,5,"84 West Park Place, Stamford, Connecticut",-73.5413309,41.053512
"137",157857,2014-07-12,"California","Pasadena","1700 block of Summit Avenue",3,2,"1700 block of Summit Avenue, Pasadena, California",-118.1473213,34.1750698
"138",157580,2014-07-11,"Illinois","Chicago","5200 West Quincy Street",1,3,"5200 West Quincy Street, Chicago, Illinois",-87.7554689,41.8776893
"139",156670,2014-07-09,"Texas","Spring","711 Leaflet Ln",6,1,"711 Leaflet Ln, Spring, Texas",-95.4420134,30.0408827
"140",156468,2014-07-08,"Rhode Island","Providence","35 March Street",0,5,"35 March Street, Providence, Rhode Island",-71.424938,41.841647
"141",162305,2014-07-07,"Kentucky","Stopover","KY 194E",0,4,"KY 194E, Stopover, Kentucky",-82.0912673,37.5157746
"142",155943,2014-07-07,"California","San Bernardino","312  E Baseline Street",1,4,"312  E Baseline Street, San Bernardino, California",-117.2782089,34.1217089
"143",156125,2014-07-06,"Florida","Miami","NW 20th Ave and NW 62nd St",2,2,"NW 20th Ave and NW 62nd St, Miami, Florida",-80.229983,25.8315384
"144",155412,2014-07-06,"Missouri","Saint Louis","4600 block of Natural Bridge Avenue",0,4,"4600 block of Natural Bridge Avenue, Saint Louis, Missouri",-90.2418171,38.6716102
"145",155755,2014-07-06,"New York","Buffalo","100 block of Erb Street",0,4,"100 block of Erb Street, Buffalo, New York",-78.8003908,42.9208748
"146",154971,2014-07-05,"Oregon","Portland","333 SE 122nd Ave",1,4,"333 SE 122nd Ave, Portland, Oregon",-122.5380275,45.5199441
"147",154803,2014-07-05,"Texas","Houston","1700 Almeda-Genoa",0,6,"1700 Almeda-Genoa, Houston, Texas",-95.395748,29.612063
"148",154834,2014-07-05,"Virginia","Norfolk","861 W. 36th Street",0,7,"861 W. 36th Street, Norfolk, Virginia",-76.2974404,36.8782321
"149",154721,2014-07-05,"Indiana","Indianapolis","Broad Ripple Avenue",0,7,"Broad Ripple Avenue, Indianapolis, Indiana",-86.1313339,39.8686303
"150",158055,2014-07-05,"Illinois","Centreville","4700 Piggott Avenue",0,5,"4700 Piggott Avenue, Centreville, Illinois",-90.1232191,38.5800536
"151",154844,2014-07-04,"Virginia","Norfolk","1722 Thurgood Street",0,5,"1722 Thurgood Street, Norfolk, Virginia",-76.262438,36.8259249
"152",156834,2014-07-02,"Pennsylvania","Chester","1400 block of West Congress Street",0,5,"1400 block of West Congress Street, Chester, Pennsylvania",-75.3863327,39.840613
"153",153275,2014-06-30,"Kentucky","Lexington","Scottsdale Circle",1,3,"Scottsdale Circle, Lexington, Kentucky",-84.4780529,38.075951
"154",152468,2014-06-29,"Louisiana","New Orleans","700 block of Bourbon St",1,9,"700 block of Bourbon St, New Orleans, Louisiana",-90.065502,29.9587042
